miRNA	Contrast	Dir	Info	Source
hsa-miR-188-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-155-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-130a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-181b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-130b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-369-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-148b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-190a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-134-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30e-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30d-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-15b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-374a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-126-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-342-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-199a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-342-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30e-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-199a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-214-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-150-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-142-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30d-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-181a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-29a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30e-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-374a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-126-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-224-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-10b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-130a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-93-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-96-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-10a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-106b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
