miRNA	Contrast	Dir	Info	Source
hsa-miR-22-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-552-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1253	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-582-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-151a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-488-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1292-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-300	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-19a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-19b-1-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1234-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-379-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-let-7a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1287-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-152-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-454-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-603	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-216b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-34c-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-500a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-373-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-506-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1228-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-133a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-138-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-651-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-520f-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1237-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-618	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-34b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
unknown	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-302d-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-548f-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-450b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1264	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-222-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-106a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-548d-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-629-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-338-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-557	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-593-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-876-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1268a	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1224-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-141-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-302a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7d-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-488-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-554	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1286	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-875-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-548c-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-24-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-940	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-942-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-16-2-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-124-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1301-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-517b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-589-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-576-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-28-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-455-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-196a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-891a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-195-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1291	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-708-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-26b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1914-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-197-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-19a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-548g-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-520d-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-616-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-520g-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1246	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-95-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1306-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7i-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-548a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1224-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-200c-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1282	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-203a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-574-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-518f-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-138-1-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-653-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-27a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-877-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-622	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-577	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-221-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-191-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-199a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7i-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-621	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-625-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1179	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-181d-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-596	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-32-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-18a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-505-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-93-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-767-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-588	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-139-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-204-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-195-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-107	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-103a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-425-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-139-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-92b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-125b-2-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-130b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-378a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-21-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-497-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-378a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-325	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-299-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1257	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-483-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-185-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-126-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-125b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-383-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1271-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-548l	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-10b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1185-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-20b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-885-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-93-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1233-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-675-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-181b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-662	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1321	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-548h-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-154-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-517-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1322	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-147a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-760	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1304-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-543	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-96-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-551b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-767-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-601	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-509-3-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-183-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-126-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-411-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1229-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-875-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-518a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-296-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-486-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-106b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-132-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-208b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1261	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1182	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-299-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-513c-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-146b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-155-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-21-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1205	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-302d-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1307-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-512-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-210-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1260a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-133b	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-298	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-337-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-297	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-644a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-495-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1908-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1258	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-10b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-141-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-196a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1323	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-16-1-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-149-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-877-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-887-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-198	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-190b	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-187-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-381-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-890	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-518e-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-182-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1293	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-659-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-551b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-134-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-145-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-550a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-452-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-489-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-936	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-509-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-369-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-610	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-448	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1911-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-382-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-617	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-379-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1295a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-145-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-566	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-516b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-508-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-649	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1299	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-542-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-512-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-335-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-328-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-323a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-331-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1912	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1265	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-136-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-524-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-376a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-564	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-561-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-576-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-144-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-661	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-539-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-654-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-140-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-587	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-639	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-33b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-302c-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-132-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-591	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-425-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-542-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-505-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-101-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1283	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-449b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-523-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-578	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-143-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-187-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1243	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-191-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-27a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-944	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1911-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-590-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-599	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-505-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-324-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-513b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-758-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-516a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-892a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-623	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-933	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-616-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-193b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1197	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-581	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1910-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-23a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-520b	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-548j-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-200c-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-573	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-922	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-619-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-143-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1468-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-643	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-563	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-580-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-636	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-329-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-432-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-615-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-941	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-105-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-508-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-631	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-567	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-409-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1238-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7g-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-518d-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-130a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-518f-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-500a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1471	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1279	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-490-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-450a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1207-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-29a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-766-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-600	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-342-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-135a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-483-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-920	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-410-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7c-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-129-2-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1202	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-20a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1270	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-572	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1909-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-330-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-188-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-219a-2-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1247-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-320a	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-602	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-376a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1539	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-520e	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-655-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-339-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-92b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1276	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1262	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30c-2-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-598-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-363-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-635	BC vs Norm	Up	BC vs Norm	dbDEMC
